Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
MAIT T-cell,adipose tissue,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor like 2,ENSG00000121797,CCRL2,O00421,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CCRL2-->adipose tissue
MAIT T-cell,basophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,MAIT T-cell-->CCL4-->CCR3-->basophil
MAIT T-cell,brain,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,MAIT T-cell-->FLT3LG-->FLT3-->brain
MAIT T-cell,classical monocyte,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,LDL receptor related protein 1,ENSG00000123384,LRP1,Q07954,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->LRP1-->classical monocyte
MAIT T-cell,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,MAIT T-cell-->CCL4-->ACKR2-->eosinophil
MAIT T-cell,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,MAIT T-cell-->CCL4-->CCR3-->eosinophil
MAIT T-cell,gdT-cell,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,Platelet derived growth factor receptor beta,ENSG00000113721,PDGFRB,P09619,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->PDGFRB-->gdT-cell
MAIT T-cell,intermediate monocyte,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,LDL receptor related protein 1,ENSG00000123384,LRP1,Q07954,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->LRP1-->intermediate monocyte
MAIT T-cell,intestine,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CCR6-->intestine
MAIT T-cell,memory B-cell,CD40 ligand,ENSG00000102245,CD40LG,P29965,CD40 molecule,ENSG00000101017,CD40,P25942,NA,NA,NA,NA,MAIT T-cell-->CD40LG-->CD40-->memory B-cell
MAIT T-cell,memory B-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CCR6-->memory B-cell
MAIT T-cell,memory CD4 T-cell,Interleukin 26,ENSG00000111536,IL26,Q9NPH9,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,MAIT T-cell-->IL26-->IL20RA-->memory CD4 T-cell
MAIT T-cell,memory CD4 T-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CCR6-->memory CD4 T-cell
MAIT T-cell,myeloid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,MAIT T-cell-->FLT3LG-->FLT3-->myeloid DC
MAIT T-cell,myeloid DC,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,LDL receptor related protein 1,ENSG00000123384,LRP1,Q07954,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->LRP1-->myeloid DC
MAIT T-cell,naive B-cell,CD40 ligand,ENSG00000102245,CD40LG,P29965,CD40 molecule,ENSG00000101017,CD40,P25942,NA,NA,NA,NA,MAIT T-cell-->CD40LG-->CD40-->naive B-cell
MAIT T-cell,naive B-cell,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CCR6-->naive B-cell
MAIT T-cell,NK-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,MAIT T-cell-->CCL4-->ACKR2-->NK-cell
MAIT T-cell,non-classical monocyte,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,Platelet derived growth factor receptor beta,ENSG00000113721,PDGFRB,P09619,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->PDGFRB-->non-classical monocyte
MAIT T-cell,non-classical monocyte,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,LDL receptor related protein 1,ENSG00000123384,LRP1,Q07954,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->LRP1-->non-classical monocyte
MAIT T-cell,ovary,Platelet derived growth factor subunit B,ENSG00000100311,PDGFB,P01127,Platelet derived growth factor receptor alpha,ENSG00000134853,PDGFRA,P16234,NA,NA,NA,NA,MAIT T-cell-->PDGFB-->PDGFRA-->ovary
MAIT T-cell,placenta,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,MAIT T-cell-->CCL4-->ACKR2-->placenta
MAIT T-cell,plasmacytoid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,MAIT T-cell-->FLT3LG-->FLT3-->plasmacytoid DC
MAIT T-cell,plasmacytoid DC,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CXCR3-->plasmacytoid DC
MAIT T-cell,plasmacytoid DC,Interferon lambda 1,ENSG00000182393,IFNL1,Q8IU54,Interferon lambda receptor 1,ENSG00000185436,IFNLR1,Q8IU57,NA,NA,NA,NA,MAIT T-cell-->IFNL1-->IFNLR1-->plasmacytoid DC
MAIT T-cell,salivary gland,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,MAIT T-cell-->CCL4-->ACKR2-->salivary gland
MAIT T-cell,skin 1,Interleukin 26,ENSG00000111536,IL26,Q9NPH9,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,MAIT T-cell-->IL26-->IL20RA-->skin 1
MAIT T-cell,T-reg,C-C motif chemokine ligand 20,ENSG00000115009,CCL20,P78556,C-C motif chemokine receptor 6,ENSG00000112486,CCR6,P51684,NA,NA,NA,NA,MAIT T-cell-->CCL20-->CCR6-->T-reg
MAIT T-cell,T-reg,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,MAIT T-cell-->CCL4-->CCR8-->T-reg
MAIT T-cell,urinary bladder,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,MAIT T-cell-->CCL4-->CCR8-->urinary bladder
memory B-cell,adipose tissue,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,memory B-cell-->CCL17-->ACKR1-->adipose tissue
memory B-cell,basophil,Interleukin 5,ENSG00000113525,IL5,P05113,Interleukin 5 receptor subunit alpha,ENSG00000091181,IL5RA,Q01344,NA,NA,NA,NA,memory B-cell-->IL5-->IL5RA-->basophil
memory B-cell,basophil,Interleukin 5,ENSG00000113525,IL5,P05113,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,memory B-cell-->IL5-->CSF2RB-->basophil
memory B-cell,basophil,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR4-->basophil
memory B-cell,eosinophil,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL17-->ACKR2-->eosinophil
memory B-cell,eosinophil,Interleukin 5,ENSG00000113525,IL5,P05113,Interleukin 5 receptor subunit alpha,ENSG00000091181,IL5RA,Q01344,NA,NA,NA,NA,memory B-cell-->IL5-->IL5RA-->eosinophil
memory B-cell,eosinophil,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR2-->eosinophil
memory B-cell,gdT-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->gdT-cell
memory B-cell,intestine,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->intestine
memory B-cell,intestine,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR4-->intestine
memory B-cell,lung,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->lung
memory B-cell,MAIT T-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->MAIT T-cell
memory B-cell,MAIT T-cell,Interleukin 23 subunit alpha,ENSG00000110944,IL23A,Q9NPF7,Interleukin 23 receptor,ENSG00000162594,IL23R,Q5VWK5,NA,NA,NA,NA,memory B-cell-->IL23A-->IL23R-->MAIT T-cell
memory B-cell,memory CD4 T-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->memory CD4 T-cell
memory B-cell,memory CD8 T-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->memory CD8 T-cell
memory B-cell,naive B-cell,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,C-C motif chemokine receptor 9,ENSG00000173585,CCR9,P51686,NA,NA,NA,NA,memory B-cell-->CCL25-->CCR9-->naive B-cell
memory B-cell,naive CD4 T-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->naive CD4 T-cell
memory B-cell,naive CD4 T-cell,Interleukin 6,ENSG00000136244,IL6,P05231,Interleukin 6 signal transducer,ENSG00000134352,IL6ST,P40189,NA,NA,NA,NA,memory B-cell-->IL6-->IL6ST-->naive CD4 T-cell
memory B-cell,naive CD8 T-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->naive CD8 T-cell
memory B-cell,neutrophil,Interleukin 5,ENSG00000113525,IL5,P05113,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,memory B-cell-->IL5-->CSF2RB-->neutrophil
memory B-cell,neutrophil,Interleukin 6,ENSG00000136244,IL6,P05231,Interleukin 6 receptor,ENSG00000160712,IL6R,P08887,NA,NA,NA,NA,memory B-cell-->IL6-->IL6R-->neutrophil
memory B-cell,NK-cell,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL17-->ACKR2-->NK-cell
memory B-cell,NK-cell,Interleukin 7,ENSG00000104432,IL7,P13232,Interleukin 7 receptor,ENSG00000168685,IL7R,P16871,NA,NA,NA,NA,memory B-cell-->IL7-->IL7R-->NK-cell
memory B-cell,NK-cell,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR2-->NK-cell
memory B-cell,placenta,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL17-->ACKR2-->placenta
memory B-cell,placenta,Interleukin 5,ENSG00000113525,IL5,P05113,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,memory B-cell-->IL5-->CSF2RB-->placenta
memory B-cell,placenta,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR2-->placenta
memory B-cell,salivary gland,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL17-->ACKR2-->salivary gland
memory B-cell,salivary gland,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR4-->salivary gland
memory B-cell,salivary gland,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory B-cell-->CCL25-->ACKR2-->salivary gland
memory B-cell,skeletal muscle,Interleukin 6,ENSG00000136244,IL6,P05231,Interleukin 6 receptor,ENSG00000160712,IL6R,P08887,NA,NA,NA,NA,memory B-cell-->IL6-->IL6R-->skeletal muscle
memory B-cell,T-reg,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,memory B-cell-->CCL17-->CCR8-->T-reg
memory B-cell,T-reg,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,C-C motif chemokine receptor 4,ENSG00000183813,CCR4,P51679,NA,NA,NA,NA,memory B-cell-->CCL17-->CCR4-->T-reg
memory B-cell,T-reg,CD70 molecule,ENSG00000125726,CD70,P32970,CD27 molecule,ENSG00000139193,CD27,P26842,NA,NA,NA,NA,memory B-cell-->CD70-->CD27-->T-reg
memory B-cell,T-reg,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,C-C motif chemokine receptor 9,ENSG00000173585,CCR9,P51686,NA,NA,NA,NA,memory B-cell-->CCL25-->CCR9-->T-reg
memory B-cell,T-reg,C-C motif chemokine ligand 25,ENSG00000131142,CCL25,O15444,C-C motif chemokine receptor 10,ENSG00000184451,CCR10,P46092,NA,NA,NA,NA,memory B-cell-->CCL25-->CCR10-->T-reg
memory B-cell,urinary bladder,C-C motif chemokine ligand 17,ENSG00000102970,CCL17,Q92583,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,memory B-cell-->CCL17-->CCR8-->urinary bladder
memory CD4 T-cell,adipose tissue,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit alpha,ENSG00000134460,IL2RA,P01589,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->IL2RA-->adipose tissue
memory CD4 T-cell,basophil,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit alpha,ENSG00000134460,IL2RA,P01589,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->IL2RA-->basophil
memory CD4 T-cell,brain,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,memory CD4 T-cell-->FLT3LG-->FLT3-->brain
memory CD4 T-cell,gdT-cell,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit beta,ENSG00000100385,IL2RB,P14784,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->IL2RB-->gdT-cell
memory CD4 T-cell,MAIT T-cell,Interleukin 23 subunit alpha,ENSG00000110944,IL23A,Q9NPF7,Interleukin 23 receptor,ENSG00000162594,IL23R,Q5VWK5,NA,NA,NA,NA,memory CD4 T-cell-->IL23A-->IL23R-->MAIT T-cell
memory CD4 T-cell,memory B-cell,CD40 ligand,ENSG00000102245,CD40LG,P29965,CD40 molecule,ENSG00000101017,CD40,P25942,NA,NA,NA,NA,memory CD4 T-cell-->CD40LG-->CD40-->memory B-cell
memory CD4 T-cell,myeloid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,memory CD4 T-cell-->FLT3LG-->FLT3-->myeloid DC
memory CD4 T-cell,naive B-cell,CD40 ligand,ENSG00000102245,CD40LG,P29965,CD40 molecule,ENSG00000101017,CD40,P25942,NA,NA,NA,NA,memory CD4 T-cell-->CD40LG-->CD40-->naive B-cell
memory CD4 T-cell,neutrophil,Interferon gamma,ENSG00000111537,IFNG,P01579,Interferon gamma receptor 2,ENSG00000159128,IFNGR2,P38484,NA,NA,NA,NA,memory CD4 T-cell-->IFNG-->IFNGR2-->neutrophil
memory CD4 T-cell,NK-cell,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit beta,ENSG00000100385,IL2RB,P14784,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->IL2RB-->NK-cell
memory CD4 T-cell,placenta,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit beta,ENSG00000100385,IL2RB,P14784,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->IL2RB-->placenta
memory CD4 T-cell,plasmacytoid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,memory CD4 T-cell-->FLT3LG-->FLT3-->plasmacytoid DC
memory CD4 T-cell,plasmacytoid DC,Interleukin 2,ENSG00000109471,IL2,P60568,Nerve growth factor receptor,ENSG00000064300,NGFR,P08138,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->NGFR-->plasmacytoid DC
memory CD4 T-cell,plasmacytoid DC,Interferon lambda 1,ENSG00000182393,IFNL1,Q8IU54,Interferon lambda receptor 1,ENSG00000185436,IFNLR1,Q8IU57,NA,NA,NA,NA,memory CD4 T-cell-->IFNL1-->IFNLR1-->plasmacytoid DC
memory CD4 T-cell,skin 1,Interleukin 26,ENSG00000111536,IL26,Q9NPH9,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,memory CD4 T-cell-->IL26-->IL20RA-->skin 1
memory CD4 T-cell,T-reg,Interleukin 2,ENSG00000109471,IL2,P60568,Interleukin 2 receptor subunit alpha,ENSG00000134460,IL2RA,P01589,NA,NA,NA,NA,memory CD4 T-cell-->IL2-->IL2RA-->T-reg
memory CD8 T-cell,adipose tissue,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->ACKR1-->adipose tissue
memory CD8 T-cell,basophil,C-X-C motif chemokine ligand 13,ENSG00000156234,CXCL13,O43927,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory CD8 T-cell-->CXCL13-->ACKR4-->basophil
memory CD8 T-cell,basophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->ACKR4-->basophil
memory CD8 T-cell,basophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->CCR3-->basophil
memory CD8 T-cell,basophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,memory CD8 T-cell-->CCL4-->CCR3-->basophil
memory CD8 T-cell,brain,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,memory CD8 T-cell-->FLT3LG-->FLT3-->brain
memory CD8 T-cell,brain,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,G protein-coupled receptor 75,ENSG00000119737,GPR75,O95800,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->GPR75-->brain
memory CD8 T-cell,eosinophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->ACKR2-->eosinophil
memory CD8 T-cell,eosinophil,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->CCR3-->eosinophil
memory CD8 T-cell,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory CD8 T-cell-->CCL4-->ACKR2-->eosinophil
memory CD8 T-cell,eosinophil,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,memory CD8 T-cell-->CCL4-->CCR3-->eosinophil
memory CD8 T-cell,intestine,C-X-C motif chemokine ligand 13,ENSG00000156234,CXCL13,O43927,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory CD8 T-cell-->CXCL13-->ACKR4-->intestine
memory CD8 T-cell,intestine,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->ACKR4-->intestine
memory CD8 T-cell,MAIT T-cell,Interleukin 23 subunit alpha,ENSG00000110944,IL23A,Q9NPF7,Interleukin 23 receptor,ENSG00000162594,IL23R,Q5VWK5,NA,NA,NA,NA,memory CD8 T-cell-->IL23A-->IL23R-->MAIT T-cell
memory CD8 T-cell,MAIT T-cell,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->CCR5-->MAIT T-cell
memory CD8 T-cell,MAIT T-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,memory CD8 T-cell-->CCL4-->CCR5-->MAIT T-cell
memory CD8 T-cell,memory B-cell,C-X-C motif chemokine ligand 13,ENSG00000156234,CXCL13,O43927,C-X-C motif chemokine receptor 5,ENSG00000160683,CXCR5,P32302,NA,NA,NA,NA,memory CD8 T-cell-->CXCL13-->CXCR5-->memory B-cell
memory CD8 T-cell,memory CD4 T-cell,Interleukin 26,ENSG00000111536,IL26,Q9NPH9,Interleukin 20 receptor subunit alpha,ENSG00000016402,IL20RA,Q9UHF4,NA,NA,NA,NA,memory CD8 T-cell-->IL26-->IL20RA-->memory CD4 T-cell
memory CD8 T-cell,myeloid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,memory CD8 T-cell-->FLT3LG-->FLT3-->myeloid DC
memory CD8 T-cell,naive B-cell,C-X-C motif chemokine ligand 13,ENSG00000156234,CXCL13,O43927,C-X-C motif chemokine receptor 5,ENSG00000160683,CXCR5,P32302,NA,NA,NA,NA,memory CD8 T-cell-->CXCL13-->CXCR5-->naive B-cell
memory CD8 T-cell,neutrophil,Interferon gamma,ENSG00000111537,IFNG,P01579,Interferon gamma receptor 2,ENSG00000159128,IFNGR2,P38484,NA,NA,NA,NA,memory CD8 T-cell-->IFNG-->IFNGR2-->neutrophil
memory CD8 T-cell,neutrophil,TNF superfamily member 9,ENSG00000125657,TNFSF9,P41273,TNF receptor superfamily member 9,ENSG00000049249,TNFRSF9,Q07011,NA,NA,NA,NA,memory CD8 T-cell-->TNFSF9-->TNFRSF9-->neutrophil
memory CD8 T-cell,NK-cell,TNF superfamily member 9,ENSG00000125657,TNFSF9,P41273,TNF receptor superfamily member 9,ENSG00000049249,TNFRSF9,Q07011,NA,NA,NA,NA,memory CD8 T-cell-->TNFSF9-->TNFRSF9-->NK-cell
memory CD8 T-cell,NK-cell,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->ACKR2-->NK-cell
memory CD8 T-cell,NK-cell,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory CD8 T-cell-->CCL4-->ACKR2-->NK-cell
memory CD8 T-cell,placenta,C-C motif chemokine ligand 5,ENSG00000271503,CCL5,P13501,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory CD8 T-cell-->CCL5-->ACKR2-->placenta
memory CD8 T-cell,placenta,C-C motif chemokine ligand 4,ENSG00000275302,CCL4,P13236,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,memory CD8 T-cell-->CCL4-->ACKR2-->placenta
memory CD8 T-cell,plasmacytoid DC,Fms related tyrosine kinase 3 ligand,ENSG00000090554,FLT3LG,P49771,Fms related tyrosine kinase 3,ENSG00000122025,FLT3,P36888,NA,NA,NA,NA,memory CD8 T-cell-->FLT3LG-->FLT3-->plasmacytoid DC
memory CD8 T-cell,plasmacytoid DC,C-X-C motif chemokine ligand 13,ENSG00000156234,CXCL13,O43927,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,memory CD8 T-cell-->CXCL13-->CXCR3-->plasmacytoid DC
memory CD8 T-cell,plasmacytoid DC,Interferon lambda 1,ENSG00000182393,IFNL1,Q8IU54,Interferon lambda receptor 1,ENSG00000185436,IFNLR1,Q8IU57,NA,NA,NA,NA,memory CD8 T-cell-->IFNL1-->IFNLR1-->plasmacytoid DC
